titulo,texto,area,subarea
O que e o que e deep learning,"Para entender o e deep imagine o seguinte: trata-se de algo relacionado a deep learning, redes neurais, camadas.",Inteligencia Artificial,Deep Learning
Resumo: formularios e validacao no cliente,"Voce ja parou para pensar em formularios e validacao no cliente? De forma simples, e um tema que envolve JavaScript, formularios, validacao. Traz um exemplo do inicio ao fim.",Frontend,Integracao
O que e APIs REST com Spring Boot,"Vamos falar sobre APIs REST com Spring Boot de um jeito facil. A ideia central passa por Java, Spring Boot, API REST. O conteudo traz exemplos praticos.",Backend,APIs e Servicos
Conteudo complementar,"Para entender processamento de linguagem natural, imagine o seguinte: trata-se de algo relacionado a NLP, texto, linguagem. O conteudo traz exemplos praticos.",Inteligencia Artificial,Processamento de Linguagem Natural
Notas rapidas,"Voce ja parou para pensar em avaliacao de modelos preditivos? De forma simples, e um tema que envolve metricas, F1-score, validacao. Inclui referencias para aprofundamento.",Ciencia de Dados,Avaliacao de Modelos
Como funciona construcao de dashboards,"Para entender construcao de dashboards, imagine o seguinte: trata-se de algo relacionado a dashboard, visualizacao, BI. Traz um exemplo do inicio ao fim.",Ciencia de Dados,Visualizacao
Conteudo complementar,"Este material aprofunda o tema de consumo de APIs no navegador, cobrindo JavaScript, fetch, API REST. Sao discutidos erros comuns e como evita-los.",Frontend,Integracao
Anotacoes sobre consumo de APIs no navegador,"Muita gente tem duvida sobre consumo de APIs no navegador. Na pratica, tudo gira em torno de JavaScript, fetch, API REST. Ao final ha exercicios propostos.",Frontend,Integracao
Material de apoio,"Um guia passo a passo sobre APIs REST Spring Boot, com foco em Java, Spring Boot, API O conteudo traz exemplos praticos.",Backend,APIs e Servicos
Anotacoes sobre engenharia de atributos,"Um guia passo a passo sobre engenharia de atributos, com foco em feature engineering, Pandas, modelagem. Traz um exemplo do inicio ao fim.",Ciencia de Dados,Analise de Dados
Resumo: criacao de servicos com FastAPI,"Documentacao sobre criacao de servicos com FastAPI. Principais topicos: Python, FastAPI, API REST. Inclui referencias para aprofundamento.",Backend,APIs e Servicos
Entendendo APIs REST com Spring Boot,"Voce ja parou para pensar em APIs REST com Spring Boot? De forma simples, e um tema que envolve Java, Spring Boot, API REST. Inclui referencias para aprofundamento.",Backend,APIs e Servicos
Anotacoes sobre pipelines de integracao continua,"Documentacao sobre pipelines de integracao continua. Principais topicos: CI/CD, automacao, GitHub Actions. O material e voltado para iniciantes.",DevOps e Cloud,Automacao
Anotacoes sobre autenticacao com JWT,"Vamos falar sobre autenticacao com JWT de um jeito facil. A ideia central passa por JWT, seguranca, autenticacao. Inclui referencias para aprofundamento.",Backend,Autenticacao e Seguranca
Resumo: modelagem dimensional para BI,"Um guia passo a passo sobre modelagem dimensional para BI, com foco em data warehouse, BI, modelagem. O material e voltado para iniciantes.",Banco de Dados,Modelagem
Anotacoes de estudo,"Um guia passo a passo sobre orquestracao de containers, com foco em Kubernetes, orquestracao, escalabilidade. O material e voltado para iniciantes.",DevOps e Cloud,Containers
O que e indices e performance de consultas,"Muita gente tem duvida sobre indices e performance de consultas. Na pratica, tudo gira em torno de indices, performance, SQL. Sao discutidos erros comuns e como evita-los.",Banco de Dados,SQL
Conteudo complementar,"Um guia passo a passo sobre modelagem dimensional para BI, com foco em data warehouse, BI, modelagem. Traz um exemplo do inicio ao fim.",Banco de Dados,Modelagem
Tutorial introducao a redes neurais,"Muita gente tem duvida sobre introducao a redes neurais. Na pratica, tudo gira em torno de redes neurais, deep learning, neuronios. O material e voltado para iniciantes.",Inteligencia Artificial,Deep Learning
Anotacoes sobre notificacoes push,"Neste conteudo sao apresentados os conceitos basicos de notificacoes push. Sao abordados temas como Firebase, notificacoes, mobile. Traz um exemplo do inicio ao fim.",Mobile,Android
Resumo: gerenciamento de estado,"Um guia passo a passo sobre gerenciamento de estado, com foco em React, Redux, estado. O material e voltado para iniciantes.",Frontend,Componentes e Estado
Entendendo processamento de linguagem natural,"Para entender processamento de linguagem natural, imagine o seguinte: trata-se de algo relacionado a NLP, texto, linguagem. O material e voltado para iniciantes.",Inteligencia Artificial,Processamento de Linguagem Natural
Guia responsividade e mobile first,"Muita gente tem duvida sobre responsividade e mobile first. Na pratica, tudo gira em torno de CSS, responsivo, UX. Ao final ha exercicios propostos.",Frontend,Estilizacao e Layout
Notas rapidas,"Vamos falar sobre transacoes e integridade de dados de um jeito facil. A ideia central passa por ACID, transacoes, SQL. O material e voltado para iniciantes.",Banco de Dados,Modelagem
Introducao a filas de mensagens com RabbitMQ,"Um guia passo a passo sobre filas de mensagens com RabbitMQ, com foco em RabbitMQ, mensageria, assincrono.",Backend,Arquitetura
O que e visao computacional com CNNs,"Vamos falar sobre visao computacional com CNNs de um jeito facil. A ideia central passa por CNN, visao computacional, imagens. O material e voltado para iniciantes.",Inteligencia Artificial,Deep Learning
O que e filas de mensagens com RabbitMQ,"Um guia passo a passo sobre filas de mensagens com RabbitMQ, com foco em RabbitMQ, mensageria, assincrono. O conteudo traz exemplos praticos.",Backend,Arquitetura
Resumo: modelagem dimensional para BI,"Um guia passo a passo sobre modelagem dimensional para BI, com foco em data warehouse, BI, modelagem. Inclui referencias para aprofundamento.",Banco de Dados,Modelagem
Como funciona tipagem de componentes com TypeScript,"Um guia passo a passo sobre tipagem de componentes com TypeScript, com foco em TypeScript, React, tipagem. Sao discutidos erros comuns e como evita-los.",Frontend,Componentes e Estado
Anotacoes sobre o que e deep learning,"Documentacao sobre o que e deep learning. Principais topicos: deep learning, redes neurais, camadas. Ao final ha exercicios propostos. O conteudo tambem aborda orquestracao de containers, mencionando Kubernetes, orquestracao, escalabilidade.",DevOps e Cloud,Containers
Anotacoes de estudo,"Documentacao sobre consultas SQL com JOIN. Principais topicos: SQL, JOIN, consultas. O conteudo traz exemplos praticos. O conteudo tambem aborda validacao cruzada e overfitting, mencionando validacao cruzada, overfitting, generalizacao.",Banco de Dados,SQL
Material de apoio,"Este material aprofunda o tema de containerizacao com Docker, Docker, containers, deploy. O conteudo tambem aborda analise exploratoria de dados, mencionando Python, Pandas, EDA.",DevOps e Cloud,Containers
Resumo: visualizacao de dados,"Voce ja parou para pensar em visualizacao de dados? De forma simples, e um tema que envolve Matplotlib, Seaborn, graficos. Ao final ha exercicios propostos.",Ciencia de Dados,Visualizacao
Tutorial bancos NoSQL orientados a documentos,"Um guia passo a passo sobre bancos NoSQL orientados a documentos, com foco em MongoDB, NoSQL, documentos. Traz um exemplo do inicio ao fim.",Banco de Dados,NoSQL
Anotacoes sobre analise exploratoria de dados,"Para entender analise exploratoria de dados, imagine o seguinte: trata-se de algo relacionado a Python, Pandas, EDA. Inclui referencias para aprofundamento.",Ciencia de Dados,Analise de Dados
Anotacoes sobre introducao a redes neurais,"Para entender introducao a redes neurais, imagine o seguinte: trata-se de algo relacionado a redes neurais, deep learning, neuronios. O conteudo traz exemplos praticos.",Inteligencia Artificial,Deep Learning
Entendendo arquitetura de microsservicos,"Vamos falar sobre arquitetura de microsservicos de um jeito facil. A ideia central passa por microsservicos, arquitetura, escalabilidade. O material e voltado para iniciantes. O conteudo tambem aborda engenharia de atributos, mencionando feature engineering, Pandas, modelagem.",Backend,Arquitetura
Material de apoio,"Neste conteudo sao apresentados os conceitos basicos de deploy automatizado de APIs. Sao abordados temas como deploy, CI/CD, API REST. Inclui referencias para aprofundamento. O conteudo tambem aborda vetorizacao de textos com TF-IDF, mencionando TF-IDF, NLP, vetorizacao.",DevOps e Cloud,Automacao
Guia modelos de classificacao supervisionada,Neste conteudo sao apresentados os conceitos basicos de modelos de classificacao supervisionada.,Inteligencia Artificial,Machine Learning
Guia acessibilidade em interfaces web,"Voce ja parou para pensar em acessibilidade em interfaces web? De forma simples, e um tema que envolve acessibilidade, HTML, UX. Traz um exemplo do inicio ao fim.",Frontend,Estilizacao e Layout
Guia engenharia de atributos,"Documentacao sobre engenharia de atributos. Principais topicos: engineering, modelagem. ha exercicios propostos.",Ciencia de Dados,Analise de Dados
Anotacoes sobre bancos NoSQL orientados a documentos,"Um guia passo a passo sobre bancos NoSQL orientados a documentos, com foco em MongoDB, NoSQL, documentos. Traz um exemplo do inicio ao fim.",Banco de Dados,NoSQL
Entendendo visualizacao de dados,"Para entender visualizacao de dados, imagine o seguinte: trata-se de algo relacionado a Matplotlib, Seaborn, graficos. O conteudo tambem aborda containerizacao de aplicacoes com Docker, mencionando Docker, containers, deploy.",DevOps e Cloud,Containers
Anotacoes sobre injecao de dependencias,"Vamos falar sobre injecao de dependencias de um jeito facil. A ideia central passa por Spring, arquitetura, boas praticas. Sao discutidos erros comuns e como evita-los.",Backend,Arquitetura
Como funciona o que e deep learning,"Vamos falar sobre o que e deep learning de um jeito facil. A ideia central passa por deep learning, redes neurais, camadas. O material e voltado para iniciantes.",Inteligencia Artificial,Deep Learning
Guia formularios e validacao no cliente,"Um guia passo a passo sobre formularios e validacao no cliente, com foco em JavaScript, formularios, validacao. Inclui referencias para aprofundamento. O conteudo tambem aborda armazenamento local no dispositivo, mencionando SQLite, mobile, persistencia.",Mobile,Boas Praticas Mobile
Resumo: interfaces multiplataforma com Flutter,"Neste conteudo sao apresentados os conceitos basicos de interfaces multiplataforma com Flutter. Sao abordados temas como Flutter, Dart, multiplataforma. Sao discutidos erros comuns e como evita-los.",Mobile,Multiplataforma
Introducao a bancos NoSQL orientados a documentos,"Este o tema de bancos NoSQL orientados a documentos, NoSQL, documentos. Sao discutidos erros comuns e como evita-los. O conteudo tambem aborda protecao contra ataques comuns, mencionando seguranca, OWASP, vulnerabilidades.",Banco de Dados,NoSQL
Anotacoes sobre indices e performance de consultas,"Vamos falar sobre indices e performance de consultas de um jeito facil. A ideia central passa por indices, performance, SQL. O material e voltado para iniciantes.",Banco de Dados,SQL
Introducao a arquitetura de microsservicos,"Documentacao sobre arquitetura de microsservicos. Principais topicos: microsservicos, arquitetura, escalabilidade. O conteudo traz exemplos praticos.",Backend,Arquitetura
Notas rapidas,Vamos falar sobre deploy automatizado de APIs de um jeito facil.,DevOps e Cloud,Automacao
Anotacoes sobre containerizacao de aplicacoes com Docker,"Documentacao sobre containerizacao de aplicacoes com Docker. Principais topicos: Docker, containers, deploy. O material e voltado para iniciantes.",DevOps e Cloud,Containers
O que e autenticacao com JWT,"Documentacao sobre autenticacao com JWT. Principais topicos: JWT, seguranca, autenticacao. O material e voltado para iniciantes.",Backend,Autenticacao e Seguranca
Notas rapidas,"Um guia passo a passo sobre o que e machine learning e como funciona, com foco em machine learning, aprendizado, modelos. Sao discutidos erros comuns e como evita-los.",Inteligencia Artificial,Machine Learning
Introducao a modelos de classificacao supervisionada,"Um guia passo a passo sobre modelos de classificacao supervisionada, com foco em Scikit-Learn, classificacao, machine learning. O conteudo traz exemplos praticos.",Inteligencia Artificial,Machine Learning
O que e processamento de linguagem natural,"Um guia passo a passo sobre processamento de linguagem natural, com foco em NLP, texto, linguagem. O conteudo traz exemplos praticos.",Inteligencia Artificial,Processamento de Linguagem Natural
Resumo da aula,"Voce ja parou para pensar em roteamento em aplicacoes SPA? De forma simples, e um tema que envolve React Router, SPA, navegacao. O conteudo traz exemplos praticos.",Frontend,Integracao
Anotacoes sobre armazenamento de objetos na nuvem,"Este material aprofunda o tema de armazenamento de objetos na nuvem, cobrindo OCI, Object Storage, cloud. Inclui referencias para aprofundamento.",DevOps e Cloud,Cloud
Introducao a avaliacao de modelos preditivos,"Vamos falar sobre avaliacao de modelos preditivos de um jeito facil. O conteudo tambem aborda armazenamento de objetos na nuvem, mencionando OCI, Object Storage, cloud.",DevOps e Cloud,Cloud
Anotacoes sobre o que e machine learning e como funciona,"Um guia passo a passo sobre o que e machine learning e como funciona, com foco em machine learning, aprendizado, modelos. Inclui referencias para aprofundamento.",Inteligencia Artificial,Machine Learning
Entendendo formularios e validacao no cliente,"Neste conteudo sao apresentados conceitos basicos de formularios validacao no cliente. abordados temas como JavaScript, formularios, validacao. O conteudo traz exemplos praticos.",Frontend,Integracao
Guia containerizacao de aplicacoes com Docker,"Um guia passo a passo sobre containerizacao de aplicacoes com Docker, com foco em Docker, containers, deploy.",DevOps e Cloud,Containers
Anotacoes de estudo,"Este material aprofunda o tema de versionamento de APIs, cobrindo API REST, boas praticas, documentacao. O material e voltado para iniciantes.",Backend,APIs e Servicos
O que e filas de mensagens com RabbitMQ,"Um guia passo a passo sobre filas de mensagens com RabbitMQ, com foco em RabbitMQ, mensageria, assincrono. O material e voltado para iniciantes.",Backend,Arquitetura
Tutorial ciclo de vida de uma activity,"Muita gente tem duvida sobre ciclo de vida de uma activity. Na pratica, tudo gira em torno de Android, Kotlin, ciclo de vida. O material e voltado para iniciantes.",Mobile,Android
Resumo da aula,"Voce ja parou para pensar em notificacoes push? De forma simples, e um tema que envolve Firebase, notificacoes, mobile. Ao final ha exercicios propostos.",Mobile,Android
Resumo: notificacoes push,"Um guia passo a passo sobre notificacoes push, com foco em Firebase, notificacoes, mobile. Inclui referencias para aprofundamento.",Mobile,Android
O que e ciclo de vida de uma activity,"Para entender ciclo de vida de uma activity, imagine o seguinte: trata-se de algo relacionado a Android, Kotlin, ciclo de vida. Ao final ha exercicios propostos.",Mobile,Android
Resumo: formularios e validacao no cliente,"Neste conteudo sao apresentados os conceitos basicos de formularios e validacao no cliente. Sao abordados temas como JavaScript, formularios, validacao. O material e voltado para iniciantes.",Frontend,Integracao
Tutorial construcao de dashboards,"Vamos falar sobre construcao de dashboards de um jeito facil. A ideia central passa por dashboard, visualizacao, BI. Inclui referencias para aprofundamento.",Ciencia de Dados,Visualizacao
Entendendo o que e deep learning,"Documentacao sobre o que e deep learning. Principais topicos: deep learning, redes neurais, camadas. O material e voltado para iniciantes.",Inteligencia Artificial,Deep Learning
Tutorial transacoes e integridade de dados,"Este material aprofunda o tema de transacoes e integridade de dados, cobrindo ACID, transacoes, SQL. O conteudo traz exemplos praticos.",Banco de Dados,Modelagem
Tutorial notificacoes push,"Um guia passo a passo notificacoes push, foco em Firebase, mobile. Traz um exemplo do inicio ao",Mobile,Android
Entendendo funcoes de agregacao e agrupamento,"Documentacao sobre funcoes de agregacao e agrupamento. Principais topicos: SQL, GROUP BY, agregacao. Sao discutidos erros comuns e como evita-los.",Banco de Dados,SQL
Anotacoes de estudo,"Voce ja parou para pensar em protecao contra ataques comuns? De forma simples, e um tema que envolve seguranca, OWASP, vulnerabilidades. O conteudo traz exemplos praticos.",Backend,Autenticacao e Seguranca
Introducao a validacao cruzada e overfitting,"Este material aprofunda o tema de validacao cruzada e overfitting, cobrindo validacao cruzada, overfitting, generalizacao. Inclui referencias para aprofundamento.",Ciencia de Dados,Avaliacao de Modelos
Introducao a indices e performance de consultas,"Documentacao sobre indices e performance de consultas. Principais topicos: indices, performance, SQL. O conteudo traz exemplos praticos.",Banco de Dados,SQL
O que e construcao de dashboards,"Muita gente tem duvida sobre construcao de dashboards. Na pratica, tudo gira em torno de dashboard, visualizacao, BI. Traz um exemplo do inicio ao fim.",Ciencia de Dados,Visualizacao
Entendendo tipagem de componentes com TypeScript,Muita gente tem duvida sobre de componentes com TypeScript.,Frontend,Componentes e Estado
Resumo: vetorizacao de textos com TF-IDF,"Voce ja parou para pensar em vetorizacao de textos com TF-IDF? De forma simples, e um tema que envolve TF-IDF, NLP, vetorizacao.",Inteligencia Artificial,Processamento de Linguagem Natural
Como funciona versionamento de codigo com Git,"Voce ja parou para pensar em versionamento de codigo com Git? De forma simples, e um tema que envolve Git, versionamento, colaboracao.",DevOps e Cloud,Automacao
O que e autenticacao com JWT,"Voce ja parou para pensar em autenticacao com JWT? De forma simples, e um tema que envolve JWT, seguranca, autenticacao. Inclui referencias para aprofundamento.",Backend,Autenticacao e Seguranca
Tutorial o que e deep learning,"Documentacao sobre o que e deep learning. Principais topicos: deep learning, redes neurais, camadas. O material e voltado para iniciantes.",Inteligencia Artificial,Deep Learning
Resumo: validacao cruzada e overfitting,Documentacao sobre validacao cruzada e overfitting.,Ciencia de Dados,Avaliacao de Modelos
Resumo da aula,"Muita gente tem duvida sobre formularios e validacao no cliente. Na pratica, tudo gira em torno de JavaScript, formularios, validacao. Traz um exemplo do inicio ao fim. O conteudo tambem aborda construcao de dashboards, mencionando dashboard, visualizacao, BI.",Ciencia de Dados,Visualizacao
O que e componentes reutilizaveis em React,"Muita gente tem duvida sobre componentes reutilizaveis em React. O conteudo tambem aborda introducao a redes neurais, mencionando redes neurais, deep learning, neuronios.",Frontend,Componentes e Estado
Material de apoio,"Voce ja parou para pensar em navegacao entre telas no React Native? De forma simples, e um tema que envolve React Native, navegacao, mobile.",Mobile,Multiplataforma
Resumo: containerizacao de aplicacoes com Docker,"Muita gente tem duvida sobre containerizacao de aplicacoes com Docker. Na pratica, tudo gira em de Docker, containers, O conteudo traz exemplos praticos.",DevOps e Cloud,Containers
Resumo da aula,Neste conteudo sao apresentados os conceitos basicos de quando usar NoSQL em vez de SQL.,Banco de Dados,NoSQL
Anotacoes de estudo,"Muita gente tem duvida sobre provisionamento de maquinas virtuais. Na pratica, tudo gira em OCI infraestrutura, cloud. Ao ha exercicios propostos.",DevOps e Cloud,Cloud
Como funciona funcoes de agregacao e agrupamento,Documentacao sobre funcoes de agregacao e agrupamento.,Banco de Dados,SQL
Guia containerizacao de aplicacoes com Docker,Vamos falar sobre containerizacao de aplicacoes com Docker de jeito,DevOps e Cloud,Containers
Anotacoes sobre navegacao entre telas no React Native,"Neste conteudo sao apresentados os conceitos basicos de navegacao entre telas no React Native. Sao abordados temas como React Native, navegacao, mobile. Traz um exemplo do inicio ao fim.",Mobile,Multiplataforma
Entendendo quando usar NoSQL em vez de SQL,"Voce ja parou para pensar em quando usar NoSQL em vez de SQL? De forma simples, e um tema que envolve NoSQL, escalabilidade, flexibilidade. O material e voltado para iniciantes.",Banco de Dados,NoSQL
Guia injecao de dependencias,"Muita gente tem duvida sobre injecao de dependencias. Na pratica, tudo gira em torno de Spring, arquitetura, boas praticas. O conteudo traz exemplos praticos.",Backend,Arquitetura
Resumo da aula,"Documentacao sobre controle de acesso e permissoes. Principais topicos: seguranca, autorizacao, roles. O conteudo traz exemplos praticos.",Backend,Autenticacao e Seguranca
Entendendo notificacoes push,"Muita gente tem duvida sobre notificacoes push. Na pratica, tudo gira em torno de Firebase, notificacoes, mobile. Sao discutidos erros comuns e como evita-los.",Mobile,Android
Guia autenticacao com JWT,"Voce ja parou para pensar em autenticacao com JWT? De forma simples, e um tema que envolve JWT, seguranca, autenticacao.",Backend,Autenticacao e Seguranca
Material de apoio,"Para entender processamento de linguagem natural, imagine o seguinte: trata-se de algo relacionado a NLP, texto, linguagem. Sao discutidos erros comuns e como evita-los.",Inteligencia Artificial,Processamento de Linguagem Natural
Como funciona limpeza e tratamento de dados,"Documentacao sobre limpeza e tratamento de dados. Principais topicos: Pandas, pre-processamento, qualidade de dados. O conteudo traz exemplos praticos.",Ciencia de Dados,Analise de Dados
Resumo: APIs REST com Spring Boot,"Um guia passo a passo sobre APIs REST com Spring Boot, com foco em Java, Spring Boot, API REST. O conteudo traz exemplos praticos.",Backend,APIs e Servicos
Introducao a bancos NoSQL orientados a documentos,Vamos falar sobre bancos NoSQL orientados de um jeito facil.,Banco de Dados,NoSQL
Resumo: validacao cruzada e overfitting,"Um guia passo a passo sobre validacao cruzada e overfitting, com foco em validacao cruzada, overfitting, generalizacao.",Ciencia de Dados,Avaliacao de Modelos
Como funciona modelos de classificacao supervisionada,"Voce ja parou para pensar em modelos de classificacao supervisionada? De forma simples, e um tema que envolve Scikit-Learn, classificacao, machine learning. Traz um exemplo do inicio ao fim. O conteudo tambem aborda interfaces multiplataforma com Flutter, mencionando Flutter, Dart, multiplataforma.",Inteligencia Artificial,Machine Learning
Tutorial agrupamento com KMeans,"Este material aprofunda o tema de agrupamento com KMeans, cobrindo KMeans, clusterizacao, nao supervisionado. Traz um exemplo do inicio ao fim.",Inteligencia Artificial,Machine Learning
Como funciona quando usar NoSQL em vez de SQL,"Muita gente tem duvida sobre quando usar NoSQL em vez de Na pratica, tudo gira em torno de NoSQL, escalabilidade, flexibilidade. Ao final exercicios propostos.",Banco de Dados,NoSQL
Tutorial pipelines de integracao continua,"Muita gente tem duvida sobre pipelines de integracao continua. Na pratica, tudo gira em torno de CI/CD, automacao, GitHub Actions. Inclui referencias para aprofundamento.",DevOps e Cloud,Automacao
Conteudo complementar,"Para entender modelagem relacional, imagine o seguinte: trata-se de algo relacionado a modelagem, normalizacao, SQL. Traz um exemplo do inicio ao fim.",Banco de Dados,Modelagem
Material de apoio,"Vamos falar sobre construcao de dashboards de um jeito facil. A ideia central passa por dashboard, visualizacao, BI. Ao final ha exercicios propostos.",Ciencia de Dados,Visualizacao
Como funciona acessibilidade em interfaces web,"Um guia passo a passo sobre acessibilidade em interfaces web, com foco em acessibilidade, HTML, UX. Sao discutidos erros comuns e como evita-los. O conteudo tambem aborda avaliacao de modelos preditivos, mencionando metricas, F1-score, validacao.",Frontend,Estilizacao e Layout
Resumo: provisionamento de maquinas virtuais,"Um guia passo a passo sobre provisionamento de maquinas virtuais, com foco em OCI Compute, infraestrutura, cloud. Inclui referencias para aprofundamento.",DevOps e Cloud,Cloud
Entendendo containerizacao de aplicacoes com Docker,"Voce ja parou para pensar em de com forma simples, e um que envolve Docker, containers, deploy. Traz um exemplo do ao",DevOps e Cloud,Containers
Introducao a modelagem dimensional para BI,Muita gente tem duvida sobre modelagem dimensional para BI.,Banco de Dados,Modelagem
Material de apoio,"Este material aprofunda o tema de quando usar NoSQL em vez de SQL, cobrindo NoSQL, escalabilidade, flexibilidade. Traz um exemplo do inicio ao fim.",Banco de Dados,NoSQL
Entendendo o que e machine learning e como funciona,"guia a passo o que e machine learning e como funciona, com foco em aprendizado, modelos. O conteudo traz exemplos praticos. O conteudo tambem aborda testes em aplicacoes mobile, mencionando testes, mobile, qualidade.",Inteligencia Artificial,Machine Learning
Anotacoes sobre armazenamento de objetos na nuvem,"Um guia passo a passo sobre armazenamento de objetos na nuvem, com foco em OCI, Object Storage, cloud. Traz um exemplo do inicio ao fim. O conteudo tambem aborda testes em aplicacoes mobile, mencionando testes, mobile, qualidade.",Mobile,Boas Praticas Mobile
Introducao a quando usar NoSQL em vez de SQL,"Este material aprofunda o tema de quando usar NoSQL em vez de SQL, cobrindo NoSQL, escalabilidade, flexibilidade. Inclui referencias para aprofundamento.",Banco de Dados,NoSQL
Como funciona orquestracao de containers,"Neste conteudo sao apresentados os conceitos basicos de orquestracao de containers. Sao abordados temas como Kubernetes, orquestracao, escalabilidade. Traz um exemplo do inicio ao fim.",DevOps e Cloud,Containers
O que e versionamento de codigo com Git,"sobre versionamento de codigo com Git. Principais topicos: Git, versionamento, colaboracao. O material e voltado para iniciantes.",DevOps e Cloud,Automacao
Entendendo limpeza e tratamento de dados,Vamos falar sobre limpeza e tratamento de dados de um jeito facil.,Ciencia de Dados,Analise de Dados
Conteudo complementar,"Voce ja parou para pensar em autenticacao com JWT? De forma simples, e um tema que envolve JWT, seguranca, autenticacao. Ao final ha exercicios propostos.",Backend,Autenticacao e Seguranca
O que e roteamento em aplicacoes SPA,"Documentacao sobre roteamento em aplicacoes SPA. Principais topicos: React Router, SPA, navegacao. Traz um exemplo do inicio ao fim.",Frontend,Integracao
