titulo,texto,area,subarea
Deep learning e redes neurais na predicao,"Tecnicas avancadas como extreme gradient boosting e deep learning, incluindo redes neurais recorrentes e modelos de memoria de longo prazo, capturam padroes complexos. Elas preveem intencoes de compra a partir de comportamentos passados, possibilitando recomendacoes personalizadas.",Inteligencia Artificial,Deep Learning
Processamento de linguagem natural em chatbots,"O processamento de linguagem natural apoia interacoes mais inteligentes no e-commerce. Chatbots baseados em IA melhoram a eficiencia do atendimento e a personalizacao, engajando consumidores em discussoes em tempo real e melhorando continuamente por meio de PLN.",Inteligencia Artificial,Processamento de Linguagem Natural
Sistemas de recomendacao e vies algoritmico,"Sistemas de recomendacao baseados em IA sao essenciais, mas o vies permanece um desafio. O vies de popularidade sobre-promove marcas conhecidas enquanto negligencia itens de nicho. O vies de dados ocorre quando modelos dependem de preferencias historicas dos consumidores.",Inteligencia Artificial,Machine Learning
Revisao sistematica com protocolo PRISMA,"Foi conduzida uma revisao sistematica de literatura seguindo o protocolo PRISMA e multiplas bases de dados academicas. A abordagem promove um relato claro e reproduzivel, envolvendo identificacao, triagem, verificacao de elegibilidade e inclusao final dos estudos.",Ciencia de Dados,Avaliacao de Modelos
Analise fatorial exploratoria de dados,"A estrutura subjacente dos itens foi examinada via analise fatorial exploratoria. Os resultados da medida Kaiser-Meyer-Olkin e do teste de esfericidade de Bartlett foram satisfatorios, indicando que o tamanho da amostra era adequado para prosseguir com a analise.",Ciencia de Dados,Analise de Dados
Confiabilidade e consistencia interna de escalas,"Os coeficientes alfa de Cronbach para todos os construtos variaram entre 0,70 e 0,92, indicando forte consistencia interna das escalas. Cargas fatoriais acima de 0,50 confirmaram a validade convergente e discriminante dos construtos.",Ciencia de Dados,Avaliacao de Modelos
Analise de mediacao com PROCESS Macro,"Foram analisadas 216 respostas validas usando o PROCESS Macro Modelo 4. Esse metodo foi escolhido por sua acessibilidade, facilidade de uso e capacidade de investigar efeitos diretos e indiretos em analise de mediacao.",Ciencia de Dados,Avaliacao de Modelos
Determinacao do tamanho de amostra,"Seguindo a recomendacao de Krejcie e Morgan para determinar um tamanho de amostra apropriado, os dados foram coletados aleatoriamente de funcionarios por meio de questionarios autoadministrados, com escalas Likert de cinco pontos.",Ciencia de Dados,Analise de Dados
Aprendizado de maquina na previsao de sobrevivencia,"Modelos baseados em aprendizado de maquina foram desenvolvidos e comparados para a previsao de sobrevivencia do enxerto. A abordagem envolve estimar a probabilidade de quanto tempo o orgao pode permanecer funcional, apoiando a tomada de decisoes terapeuticas.",Inteligencia Artificial,Machine Learning
Redes neurais na avaliacao de imagens medicas,"Redes neurais foram usadas para automatizar a classificacao em biopsias de pacientes. O uso de espectrometria de massa quantitativa e algoritmos de aprendizado de maquina melhora o diagnostico molecular, abordando limitacoes da avaliacao tradicional.",Inteligencia Artificial,Deep Learning
Aprendizado nao supervisionado e clusterizacao,"Uma abordagem de aprendizado de maquina nao supervisionada foi usada para identificar e caracterizar agrupamentos de receptores com longa duracao de tratamento, comparando os desfechos entre esses clusters e permitindo cuidado mais personalizado.",Inteligencia Artificial,Machine Learning
Modelos preditivos para deteccao precoce,Tecnicas de aprendizado de maquina foram usadas para criar modelos preditivos de deteccao precoce de complicacoes nos primeiros dias apos o procedimento. A disponibilidade de dados estruturados favorece o desenvolvimento desses modelos.,Inteligencia Artificial,Machine Learning
Revisao de escopo e mapeamento de literatura,"Foi realizada uma revisao de escopo, abordagem adequada para mapear de forma abrangente como um campo tem sido investigado, identificar padroes de aplicacao e evidenciar lacunas na literatura, especialmente quando ela e heterogenea e ainda em consolidacao.",Ciencia de Dados,Analise de Dados
Codificacao e organizacao de dados em planilha,"Para apoiar a organizacao dos dados e o processo de codificacao, foi utilizado o software de planilhas, que permitiu sistematizar as informacoes extraidas e agrupar os estudos de acordo com as categorias emergentes.",Banco de Dados,Modelagem
